SIC Code,Description
864110,Community Organizations
866104,Church Organizations
866107,All) Places Of Worship
866112,Synagogues
866114,Mosques
866116,Ashrams
869921,Dance Clubs
871147,Engineering
873101,Research Labs
873122,Laboratories Agricultural
873306,Observatories
874838,Industrial Developments
901006,Beach
901010,Cave
901014,Forest
901023,Ridge
901027,Valley
902101,Bay
902208,Rapids
902209,Reservoir
902212,Swamp
903001,Bridge
903002,Building
903005,Dam
903010,Tower
911101,Federal Government Executive Offices
911102,State Government Executive Offices
911104,City Government Executive Offices
919901,Federal Government General Offices
919902,State Government General Offices
919906,Government Offices Native American
922301,Federal Government Correctional Institutions
922404,Fire & Rescue
962105,Port Services
962107,Transportation Authorities
963104,City Government Regulation/Adm Comms/Utilities
971109,Military Bases
972101,Federal Government International Affairs
999333,Tourist Attractions
