Neighborhood,group_sic_code_name_ext,group_sic_code,count
Andersonville,Electronic Equipment & Supplies Retail,573117.0,1
Andersonville,Flooring,175203.0,1
Andersonville,Florists,599201.0,1
Andersonville,Food Markets,541101.0,1
Andersonville,Furniture Stores,571216.0,4
Andersonville,Gas Stations,554101.0,2
Andersonville,Gift Shops,594712.0,3
Andersonville,Government Pension Health/Welfare Funds,637104.0,4
Andersonville,Grills Barbecue,572233.0,1
Andersonville,Grocers Health Foods,541108.0,2
Andersonville,Grocery Stores,541105.0,3
Andersonville,Health Clubs & Gyms,799101.0,3
Andersonville,Homes Personal Care Facility,805911.0,4
Andersonville,House Cleaning,734922.0,2
Andersonville,Investments,621111.0,3
Andersonville,Jewelers,594409.0,3
Andersonville,Juice Bars,581248.0,1
Andersonville,Kitchen Accessories,571928.0,1
Andersonville,Legal Services,811198.0,3
Andersonville,Manicurists,723102.0,2
Andersonville,Miscellaneous Food Stores,549999.0,1
Andersonville,Museums,841201.0,4
Andersonville,Musical Instruments,573608.0,3
Andersonville,News Service,738301.0,2
Andersonville,Nursing & Personal Care NEC,805999.0,5
Andersonville,Opticians,599504.0,1
Andersonville,Paint Stores,523107.0,1
Andersonville,Parks,799951.0,2
Andersonville,Pet Services,75210.0,3
Andersonville,Pet Supplies,599929.0,1
Andersonville,Pharmacies,591205.0,3
Andersonville,Photography,722121.0,4
Andersonville,Publishers,274105.0,1
Andersonville,Pubs,581305.0,1
Andersonville,Real Estate Agents,653118.0,3
Andersonville,Recycling Centers (Wholesale),509312.0,2
Andersonville,Restaurants Cyber Cafes,581254.0,2
Andersonville,Retail Shops,531104.0,1
Andersonville,Rubber & Plastic Footwear Retail,566112.0,2
Andersonville,Schools (K-12),821103.0,4
Andersonville,Sportswear,569913.0,1
Andersonville,Subs & Sandwiches,581219.0,1
Andersonville,Toy Stores,594517.0,1
Andersonville,Travel Agents,472402.0,1
Andersonville,Veterinarians Dvm Vmd Public Health,74220.0,2
Andersonville,Video & DVD Rental,784102.0,1
Andersonville,Wedding Supplies & Services,599940.0,1
